/opt/conda/lib/python3.7/site-packages/ipykernel_launcher.py:19: UserWarning: You have chosen to seed training. This will turn on the CUDNN deterministic setting, which can slow down your training considerably! You may see unexpected behavior when restarting from checkpoints.
=> using model 'resnet18'
Epoch 0: Learning Rate for backbone: 0.00030000000000000003; Learning Rates for bottleneck: 0.003; Learning Rates for head: 0.003
/opt/conda/lib/python3.7/site-packages/ipykernel_launcher.py:57: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
Test: [ 8/89]	Time  0.166 ( 0.192)	Loss 2.6483e+00 (2.4654e+00)	Acc@1  21.88 ( 36.11)
Test: [ 9/89]	Time  0.166 ( 0.189)	Loss 2.4149e+00 (2.4603e+00)	Acc@1  34.38 ( 35.94)
Test: [10/89]	Time  0.167 ( 0.187)	Loss 2.2422e+00 (2.4405e+00)	Acc@1  40.62 ( 36.36)
Test: [11/89]	Time  0.166 ( 0.185)	Loss 2.3658e+00 (2.4343e+00)	Acc@1  37.50 ( 36.46)
Test: [12/89]	Time  0.165 ( 0.184)	Loss 2.4628e+00 (2.4365e+00)	Acc@1  34.38 ( 36.30)
Test: [13/89]	Time  0.163 ( 0.182)	Loss 3.0110e+00 (2.4775e+00)	Acc@1  18.75 ( 35.04)
Test: [14/89]	Time  0.172 ( 0.182)	Loss 2.4966e+00 (2.4788e+00)	Acc@1  34.38 ( 35.00)
Test: [15/89]	Time  0.164 ( 0.180)	Loss 2.5657e+00 (2.4842e+00)	Acc@1  34.38 ( 34.96)
Test: [16/89]	Time  0.168 ( 0.180)	Loss 2.4255e+00 (2.4808e+00)	Acc@1  28.12 ( 34.56)
Test: [17/89]	Time  0.169 ( 0.179)	Loss 2.4083e+00 (2.4767e+00)	Acc@1  31.25 ( 34.38)
Test: [18/89]	Time  0.171 ( 0.179)	Loss 2.4488e+00 (2.4753e+00)	Acc@1  31.25 ( 34.21)
Test: [19/89]	Time  0.167 ( 0.178)	Loss 2.5901e+00 (2.4810e+00)	Acc@1  34.38 ( 34.22)
Test: [20/89]	Time  0.174 ( 0.178)	Loss 2.6553e+00 (2.4893e+00)	Acc@1  28.12 ( 33.93)
Test: [21/89]	Time  0.167 ( 0.177)	Loss 2.4741e+00 (2.4886e+00)	Acc@1  40.62 ( 34.23)
Test: [22/89]	Time  0.166 ( 0.177)	Loss 2.7063e+00 (2.4981e+00)	Acc@1  31.25 ( 34.10)
Test: [23/89]	Time  0.172 ( 0.177)	Loss 2.0771e+00 (2.4805e+00)	Acc@1  53.12 ( 34.90)
Test: [24/89]	Time  0.162 ( 0.176)	Loss 2.7256e+00 (2.4903e+00)	Acc@1  28.12 ( 34.62)
Test: [25/89]	Time  0.161 ( 0.176)	Loss 2.4748e+00 (2.4897e+00)	Acc@1  37.50 ( 34.74)
Test: [26/89]	Time  0.166 ( 0.175)	Loss 2.6077e+00 (2.4941e+00)	Acc@1  31.25 ( 34.61)
Test: [27/89]	Time  0.169 ( 0.175)	Loss 2.3975e+00 (2.4907e+00)	Acc@1  37.50 ( 34.71)
Test: [28/89]	Time  0.168 ( 0.175)	Loss 2.4574e+00 (2.4895e+00)	Acc@1  31.25 ( 34.59)
Test: [29/89]	Time  0.165 ( 0.174)	Loss 2.5936e+00 (2.4930e+00)	Acc@1  37.50 ( 34.69)
Test: [30/89]	Time  0.166 ( 0.174)	Loss 2.8306e+00 (2.5039e+00)	Acc@1  21.88 ( 34.27)
Test: [31/89]	Time  0.163 ( 0.174)	Loss 2.7445e+00 (2.5114e+00)	Acc@1  21.88 ( 33.89)
Test: [32/89]	Time  0.166 ( 0.174)	Loss 2.4309e+00 (2.5090e+00)	Acc@1  37.50 ( 34.00)
Test: [33/89]	Time  0.168 ( 0.173)	Loss 2.6083e+00 (2.5119e+00)	Acc@1  37.50 ( 34.10)
Test: [34/89]	Time  0.163 ( 0.173)	Loss 2.4935e+00 (2.5114e+00)	Acc@1  31.25 ( 34.02)
Test: [35/89]	Time  0.166 ( 0.173)	Loss 2.4538e+00 (2.5098e+00)	Acc@1  37.50 ( 34.11)
Test: [36/89]	Time  0.166 ( 0.173)	Loss 2.4383e+00 (2.5078e+00)	Acc@1  43.75 ( 34.38)
Test: [37/89]	Time  0.167 ( 0.173)	Loss 2.2838e+00 (2.5019e+00)	Acc@1  56.25 ( 34.95)
Test: [38/89]	Time  0.165 ( 0.172)	Loss 2.3208e+00 (2.4973e+00)	Acc@1  37.50 ( 35.02)
Test: [39/89]	Time  0.168 ( 0.172)	Loss 2.6263e+00 (2.5005e+00)	Acc@1  34.38 ( 35.00)
Test: [40/89]	Time  0.164 ( 0.172)	Loss 2.2552e+00 (2.4945e+00)	Acc@1  43.75 ( 35.21)
Test: [41/89]	Time  0.164 ( 0.172)	Loss 2.5799e+00 (2.4966e+00)	Acc@1  31.25 ( 35.12)
Test: [42/89]	Time  0.168 ( 0.172)	Loss 2.6324e+00 (2.4997e+00)	Acc@1  34.38 ( 35.10)
Test: [43/89]	Time  0.163 ( 0.172)	Loss 2.2960e+00 (2.4951e+00)	Acc@1  43.75 ( 35.30)
Test: [44/89]	Time  0.170 ( 0.172)	Loss 2.4029e+00 (2.4930e+00)	Acc@1  43.75 ( 35.49)
Test: [45/89]	Time  0.166 ( 0.171)	Loss 2.7659e+00 (2.4990e+00)	Acc@1  25.00 ( 35.26)
Test: [46/89]	Time  0.170 ( 0.171)	Loss 2.3643e+00 (2.4961e+00)	Acc@1  34.38 ( 35.24)
Test: [47/89]	Time  0.170 ( 0.171)	Loss 2.2040e+00 (2.4900e+00)	Acc@1  46.88 ( 35.48)
Test: [48/89]	Time  0.166 ( 0.171)	Loss 2.3973e+00 (2.4881e+00)	Acc@1  34.38 ( 35.46)
Test: [49/89]	Time  0.170 ( 0.171)	Loss 2.6161e+00 (2.4907e+00)	Acc@1  28.12 ( 35.31)
Test: [50/89]	Time  0.168 ( 0.171)	Loss 2.3582e+00 (2.4881e+00)	Acc@1  28.12 ( 35.17)
Test: [51/89]	Time  0.170 ( 0.171)	Loss 2.6722e+00 (2.4916e+00)	Acc@1  21.88 ( 34.92)
Test: [52/89]	Time  0.168 ( 0.171)	Loss 2.4997e+00 (2.4918e+00)	Acc@1  34.38 ( 34.91)
Test: [53/89]	Time  0.171 ( 0.171)	Loss 2.3312e+00 (2.4888e+00)	Acc@1  53.12 ( 35.24)
Test: [54/89]	Time  0.165 ( 0.171)	Loss 2.3878e+00 (2.4870e+00)	Acc@1  34.38 ( 35.23)
Test: [55/89]	Time  0.162 ( 0.171)	Loss 2.4680e+00 (2.4866e+00)	Acc@1  25.00 ( 35.04)
Test: [56/89]	Time  0.162 ( 0.171)	Loss 2.6843e+00 (2.4901e+00)	Acc@1  25.00 ( 34.87)
Test: [57/89]	Time  0.182 ( 0.171)	Loss 2.5238e+00 (2.4907e+00)	Acc@1  28.12 ( 34.75)
Test: [58/89]	Time  0.168 ( 0.171)	Loss 2.4400e+00 (2.4898e+00)	Acc@1  46.88 ( 34.96)
Test: [59/89]	Time  0.165 ( 0.171)	Loss 2.4605e+00 (2.4893e+00)	Acc@1  31.25 ( 34.90)
Test: [60/89]	Time  0.168 ( 0.171)	Loss 2.2700e+00 (2.4857e+00)	Acc@1  37.50 ( 34.94)
Test: [61/89]	Time  0.166 ( 0.171)	Loss 2.8492e+00 (2.4916e+00)	Acc@1  25.00 ( 34.78)
Test: [62/89]	Time  0.162 ( 0.170)	Loss 2.0898e+00 (2.4852e+00)	Acc@1  53.12 ( 35.07)
Test: [63/89]	Time  0.169 ( 0.170)	Loss 2.7249e+00 (2.4890e+00)	Acc@1  28.12 ( 34.96)
Test: [64/89]	Time  0.168 ( 0.170)	Loss 2.4758e+00 (2.4888e+00)	Acc@1  40.62 ( 35.05)
Test: [65/89]	Time  0.209 ( 0.171)	Loss 2.2811e+00 (2.4856e+00)	Acc@1  46.88 ( 35.23)
Test: [66/89]	Time  0.174 ( 0.171)	Loss 2.5995e+00 (2.4873e+00)	Acc@1  37.50 ( 35.26)
Test: [67/89]	Time  0.205 ( 0.172)	Loss 2.6487e+00 (2.4897e+00)	Acc@1  34.38 ( 35.25)
